Incident ID,Plant,Date,Description,Incident Type,Cause
255,Plant B,2024-04-05,A near-miss incident was reported on 2024-04-05 at Plant B.,chemical spill,Environment
256,Plant C,2024-01-21,A near-miss incident was reported on 2024-01-21 at Plant C.,slip,Environment
257,Plant C,2024-05-22,A near-miss incident was reported on 2024-05-22 at Plant C.,electrical,Unknown
258,Plant B,2024-02-04,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-02-04.,fire,Equipment
259,Plant D,2024-09-18,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-09-18.,falling object,Environment
260,Plant B,2024-01-05,A fire alarm was triggered in Plant B's assembly line on 2024-01-05.,safety violation,Unknown
261,Plant B,2024-03-14,A near-miss incident was reported on 2024-03-14 at Plant B.,ventilation,Unknown
262,Plant D,2024-05-27,A near-miss incident was reported on 2024-05-27 at Plant D.,heat exhaustion,Equipment
263,Plant C,2024-08-02,A fire alarm was triggered in Plant C's assembly line on 2024-08-02.,ventilation,Unknown
264,Plant D,2024-08-25,Employee reported dizziness and nausea in Plant D's packaging area on 2024-08-25.,slip,Environment
265,Plant C,2024-02-09,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-02-09.,other,Human error
266,Plant C,2024-08-14,A near-miss incident was reported on 2024-08-14 at Plant C.,near-miss,Human error
267,Plant C,2024-04-23,Employee reported dizziness and nausea in Plant C's packaging area on 2024-04-23.,safety violation,Equipment
268,Plant C,2024-04-12,Employee reported dizziness and nausea in Plant C's packaging area on 2024-04-12.,electrical,Equipment
269,Plant D,2024-03-17,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-03-17.,injury,Equipment
270,Plant C,2024-09-03,A near-miss incident was reported on 2024-09-03 at Plant C.,injury,Equipment
271,Plant B,2024-06-07,Employee reported dizziness and nausea in Plant B's packaging area on 2024-06-07.,electrical,Environment
272,Plant B,2024-04-26,A near-miss incident was reported on 2024-04-26 at Plant B.,injury,Human error
273,Plant C,2024-04-07,"On 2024-04-07, a worker in Plant C's production area tripped over an unmarked hazard.",injury,Unknown
274,Plant C,2024-07-18,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-07-18.,fire,Unknown
275,Plant D,2024-08-11,"On 2024-08-11, a worker in Plant D's production area tripped over an unmarked hazard.",injury,Environment
276,Plant D,2024-07-01,A near-miss incident was reported on 2024-07-01 at Plant D.,other,Unknown
277,Plant D,2024-04-29,"On 2024-04-29, a worker in Plant D's production area tripped over an unmarked hazard.",falling object,Human error
278,Plant C,2024-07-09,A fire alarm was triggered in Plant C's assembly line on 2024-07-09.,near-miss,Unknown
279,Plant A,2024-08-19,A fire alarm was triggered in Plant A's assembly line on 2024-08-19.,other,Unknown
280,Plant C,2024-04-06,"On 2024-04-06, a worker in Plant C's production area tripped over an unmarked hazard.",fire,Environment
281,Plant B,2024-08-08,A near-miss incident was reported on 2024-08-08 at Plant B.,ventilation,Equipment
282,Plant B,2024-02-09,"On 2024-02-09, a worker in Plant B's production area tripped over an unmarked hazard.",fire,Environment
283,Plant D,2024-03-10,Employee reported dizziness and nausea in Plant D's packaging area on 2024-03-10.,safety violation,Unknown
284,Plant A,2024-01-16,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-01-16.,chemical spill,Equipment
285,Plant B,2024-05-30,A near-miss incident was reported on 2024-05-30 at Plant B.,injury,Human error
286,Plant A,2024-05-14,"On 2024-05-14, a worker in Plant A's production area tripped over an unmarked hazard.",fire,Environment
287,Plant B,2024-09-04,A fire alarm was triggered in Plant B's assembly line on 2024-09-04.,heat exhaustion,Equipment
288,Plant A,2024-07-07,A near-miss incident was reported on 2024-07-07 at Plant A.,other,Human error
289,Plant B,2024-02-20,A near-miss incident was reported on 2024-02-20 at Plant B.,electrical,Environment
290,Plant D,2024-01-19,A fire alarm was triggered in Plant D's assembly line on 2024-01-19.,safety violation,Human error
291,Plant D,2024-07-25,"On 2024-07-25, a worker in Plant D's production area tripped over an unmarked hazard.",ventilation,Unknown
292,Plant A,2024-08-01,"On 2024-08-01, a worker in Plant A's production area tripped over an unmarked hazard.",other,Unknown
293,Plant C,2024-07-25,A near-miss incident was reported on 2024-07-25 at Plant C.,injury,Unknown
294,Plant A,2024-07-15,Employee reported dizziness and nausea in Plant A's packaging area on 2024-07-15.,safety violation,Environment
295,Plant D,2024-07-28,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-07-28.,other,Environment
296,Plant A,2024-05-11,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-05-11.,fire,Human error
297,Plant D,2024-02-22,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-02-22.,electrical,Human error
298,Plant C,2024-08-13,"On 2024-08-13, a worker in Plant C's production area tripped over an unmarked hazard.",safety violation,Human error
299,Plant A,2024-02-29,Employee reported dizziness and nausea in Plant A's packaging area on 2024-02-29.,chemical spill,Unknown
300,Plant B,2024-02-26,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-02-26.,near-miss,Environment
301,Plant A,2024-05-10,A near-miss incident was reported on 2024-05-10 at Plant A.,slip,Equipment
302,Plant D,2024-02-29,A near-miss incident was reported on 2024-02-29 at Plant D.,near-miss,Environment
303,Plant B,2024-02-22,"On 2024-02-22, a worker in Plant B's production area tripped over an unmarked hazard.",injury,Human error
304,Plant A,2024-03-18,A fire alarm was triggered in Plant A's assembly line on 2024-03-18.,safety violation,Human error
305,Plant D,2024-06-10,"On 2024-06-10, a worker in Plant D's production area tripped over an unmarked hazard.",electrical,Equipment
306,Plant D,2024-04-26,A near-miss incident was reported on 2024-04-26 at Plant D.,falling object,Environment
307,Plant B,2024-05-01,A fire alarm was triggered in Plant B's assembly line on 2024-05-01.,ventilation,Equipment
308,Plant B,2024-05-25,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-05-25.,injury,Equipment
309,Plant A,2024-07-30,"On 2024-07-30, a worker in Plant A's production area tripped over an unmarked hazard.",ventilation,Equipment
310,Plant C,2024-07-06,A near-miss incident was reported on 2024-07-06 at Plant C.,electrical,Environment
311,Plant A,2024-08-23,A near-miss incident was reported on 2024-08-23 at Plant A.,falling object,Unknown
312,Plant A,2024-03-31,A near-miss incident was reported on 2024-03-31 at Plant A.,injury,Equipment
313,Plant D,2024-02-12,A near-miss incident was reported on 2024-02-12 at Plant D.,injury,Unknown
314,Plant B,2024-02-09,"On 2024-02-09, a worker in Plant B's production area tripped over an unmarked hazard.",ventilation,Human error
315,Plant B,2024-02-26,Employee reported dizziness and nausea in Plant B's packaging area on 2024-02-26.,electrical,Human error
316,Plant B,2024-05-24,A fire alarm was triggered in Plant B's assembly line on 2024-05-24.,ventilation,Equipment
317,Plant B,2024-04-21,Employee reported dizziness and nausea in Plant B's packaging area on 2024-04-21.,slip,Equipment
318,Plant C,2024-06-12,Employee reported dizziness and nausea in Plant C's packaging area on 2024-06-12.,heat exhaustion,Equipment
319,Plant C,2024-09-13,A fire alarm was triggered in Plant C's assembly line on 2024-09-13.,other,Equipment
320,Plant B,2024-08-07,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-08-07.,ventilation,Human error
321,Plant A,2024-08-15,A fire alarm was triggered in Plant A's assembly line on 2024-08-15.,electrical,Human error
322,Plant D,2024-05-17,A fire alarm was triggered in Plant D's assembly line on 2024-05-17.,slip,Equipment
323,Plant D,2024-07-25,Employee reported dizziness and nausea in Plant D's packaging area on 2024-07-25.,heat exhaustion,Environment
324,Plant C,2024-06-21,A near-miss incident was reported on 2024-06-21 at Plant C.,other,Environment
325,Plant D,2024-06-22,A fire alarm was triggered in Plant D's assembly line on 2024-06-22.,slip,Equipment
326,Plant C,2024-06-18,"On 2024-06-18, a worker in Plant C's production area tripped over an unmarked hazard.",chemical spill,Environment
327,Plant A,2024-08-30,A fire alarm was triggered in Plant A's assembly line on 2024-08-30.,fire,Environment
328,Plant A,2024-02-26,"On 2024-02-26, a worker in Plant A's production area tripped over an unmarked hazard.",injury,Human error
329,Plant A,2024-06-01,Employee reported dizziness and nausea in Plant A's packaging area on 2024-06-01.,near-miss,Equipment
330,Plant B,2024-02-03,A fire alarm was triggered in Plant B's assembly line on 2024-02-03.,other,Environment
331,Plant A,2024-07-09,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-07-09.,falling object,Environment
332,Plant C,2024-08-21,Employee reported dizziness and nausea in Plant C's packaging area on 2024-08-21.,injury,Environment
333,Plant C,2024-02-21,Employee reported dizziness and nausea in Plant C's packaging area on 2024-02-21.,slip,Unknown
334,Plant A,2024-05-28,Employee reported dizziness and nausea in Plant A's packaging area on 2024-05-28.,ventilation,Environment
335,Plant B,2024-01-06,A near-miss incident was reported on 2024-01-06 at Plant B.,near-miss,Equipment
336,Plant D,2024-09-03,Employee reported dizziness and nausea in Plant D's packaging area on 2024-09-03.,near-miss,Equipment
337,Plant D,2024-02-19,"On 2024-02-19, a worker in Plant D's production area tripped over an unmarked hazard.",electrical,Environment
338,Plant B,2024-08-13,A fire alarm was triggered in Plant B's assembly line on 2024-08-13.,injury,Human error
339,Plant C,2024-04-01,"On 2024-04-01, a worker in Plant C's production area tripped over an unmarked hazard.",slip,Human error
340,Plant C,2024-09-13,A fire alarm was triggered in Plant C's assembly line on 2024-09-13.,near-miss,Human error
341,Plant A,2024-09-16,A fire alarm was triggered in Plant A's assembly line on 2024-09-16.,near-miss,Unknown
342,Plant C,2024-08-05,"On 2024-08-05, a worker in Plant C's production area tripped over an unmarked hazard.",injury,Unknown
343,Plant B,2024-04-19,"On 2024-04-19, a worker in Plant B's production area tripped over an unmarked hazard.",safety violation,Human error
344,Plant B,2024-04-08,Employee reported dizziness and nausea in Plant B's packaging area on 2024-04-08.,injury,Environment
345,Plant D,2024-06-11,A near-miss incident was reported on 2024-06-11 at Plant D.,ventilation,Equipment
346,Plant D,2024-08-07,"On 2024-08-07, a worker in Plant D's production area tripped over an unmarked hazard.",electrical,Human error
347,Plant C,2024-02-10,"On 2024-02-10, a worker in Plant C's production area tripped over an unmarked hazard.",fire,Equipment
348,Plant D,2024-08-29,A fire alarm was triggered in Plant D's assembly line on 2024-08-29.,other,Human error
349,Plant B,2024-02-02,A near-miss incident was reported on 2024-02-02 at Plant B.,heat exhaustion,Human error
350,Plant A,2024-05-03,Employee reported dizziness and nausea in Plant A's packaging area on 2024-05-03.,safety violation,Environment
351,Plant D,2024-06-21,A near-miss incident was reported on 2024-06-21 at Plant D.,ventilation,Environment
352,Plant B,2024-08-29,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-29.,falling object,Equipment
353,Plant B,2024-05-26,"On 2024-05-26, a worker in Plant B's production area tripped over an unmarked hazard.",chemical spill,Human error
354,Plant D,2024-06-14,A fire alarm was triggered in Plant D's assembly line on 2024-06-14.,injury,Environment
355,Plant D,2024-07-29,Employee reported dizziness and nausea in Plant D's packaging area on 2024-07-29.,near-miss,Unknown
356,Plant B,2024-06-21,A fire alarm was triggered in Plant B's assembly line on 2024-06-21.,chemical spill,Equipment
357,Plant A,2024-06-30,A fire alarm was triggered in Plant A's assembly line on 2024-06-30.,electrical,Environment
358,Plant C,2024-08-06,A fire alarm was triggered in Plant C's assembly line on 2024-08-06.,near-miss,Human error
359,Plant A,2024-05-18,Employee reported dizziness and nausea in Plant A's packaging area on 2024-05-18.,chemical spill,Equipment
360,Plant C,2024-07-20,A fire alarm was triggered in Plant C's assembly line on 2024-07-20.,other,Human error
361,Plant A,2024-08-26,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-08-26.,safety violation,Environment
362,Plant A,2024-03-01,A near-miss incident was reported on 2024-03-01 at Plant A.,ventilation,Human error
363,Plant B,2024-04-12,Employee reported dizziness and nausea in Plant B's packaging area on 2024-04-12.,falling object,Environment
364,Plant C,2024-08-17,A near-miss incident was reported on 2024-08-17 at Plant C.,other,Human error
365,Plant D,2024-07-25,Employee reported dizziness and nausea in Plant D's packaging area on 2024-07-25.,ventilation,Environment
366,Plant D,2024-09-07,"On 2024-09-07, a worker in Plant D's production area tripped over an unmarked hazard.",fire,Unknown
367,Plant C,2024-06-12,A near-miss incident was reported on 2024-06-12 at Plant C.,safety violation,Unknown
368,Plant D,2024-02-28,A near-miss incident was reported on 2024-02-28 at Plant D.,ventilation,Equipment
369,Plant D,2024-08-31,"On 2024-08-31, a worker in Plant D's production area tripped over an unmarked hazard.",falling object,Equipment
370,Plant C,2024-06-29,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-06-29.,heat exhaustion,Unknown
371,Plant B,2024-05-25,A near-miss incident was reported on 2024-05-25 at Plant B.,chemical spill,Equipment
372,Plant D,2024-02-20,A near-miss incident was reported on 2024-02-20 at Plant D.,heat exhaustion,Unknown
373,Plant B,2024-07-24,Employee reported dizziness and nausea in Plant B's packaging area on 2024-07-24.,injury,Human error
374,Plant B,2024-07-17,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-07-17.,falling object,Equipment
375,Plant D,2024-02-17,Employee reported dizziness and nausea in Plant D's packaging area on 2024-02-17.,fire,Human error
376,Plant C,2024-07-11,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-07-11.,heat exhaustion,Equipment
377,Plant C,2024-07-31,A near-miss incident was reported on 2024-07-31 at Plant C.,heat exhaustion,Equipment
378,Plant D,2024-08-09,Employee reported dizziness and nausea in Plant D's packaging area on 2024-08-09.,heat exhaustion,Environment
379,Plant D,2024-05-14,"On 2024-05-14, a worker in Plant D's production area tripped over an unmarked hazard.",safety violation,Equipment
380,Plant D,2024-07-30,Employee reported dizziness and nausea in Plant D's packaging area on 2024-07-30.,near-miss,Equipment
381,Plant A,2024-08-31,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-08-31.,slip,Equipment
382,Plant D,2024-08-24,A near-miss incident was reported on 2024-08-24 at Plant D.,near-miss,Human error
383,Plant C,2024-05-02,Employee reported dizziness and nausea in Plant C's packaging area on 2024-05-02.,slip,Unknown
384,Plant C,2024-03-16,A near-miss incident was reported on 2024-03-16 at Plant C.,near-miss,Equipment
385,Plant D,2024-03-04,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-03-04.,heat exhaustion,Human error
386,Plant A,2024-09-07,A near-miss incident was reported on 2024-09-07 at Plant A.,chemical spill,Human error
387,Plant B,2024-08-29,A near-miss incident was reported on 2024-08-29 at Plant B.,injury,Human error
388,Plant B,2024-06-17,"On 2024-06-17, a worker in Plant B's production area tripped over an unmarked hazard.",injury,Human error
389,Plant D,2024-05-08,Employee reported dizziness and nausea in Plant D's packaging area on 2024-05-08.,ventilation,Equipment
390,Plant C,2024-04-16,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-04-16.,near-miss,Equipment
391,Plant D,2024-01-26,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-01-26.,other,Human error
392,Plant D,2024-03-06,Employee reported dizziness and nausea in Plant D's packaging area on 2024-03-06.,other,Environment
393,Plant D,2024-04-16,A near-miss incident was reported on 2024-04-16 at Plant D.,slip,Equipment
394,Plant B,2024-03-25,A fire alarm was triggered in Plant B's assembly line on 2024-03-25.,ventilation,Environment
395,Plant D,2024-02-13,"On 2024-02-13, a worker in Plant D's production area tripped over an unmarked hazard.",slip,Human error
396,Plant D,2024-09-11,A fire alarm was triggered in Plant D's assembly line on 2024-09-11.,chemical spill,Environment
397,Plant B,2024-04-29,Employee reported dizziness and nausea in Plant B's packaging area on 2024-04-29.,heat exhaustion,Environment
398,Plant B,2024-01-29,"On 2024-01-29, a worker in Plant B's production area tripped over an unmarked hazard.",fire,Human error
399,Plant C,2024-02-28,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-02-28.,other,Human error
400,Plant A,2024-03-05,A near-miss incident was reported on 2024-03-05 at Plant A.,other,Equipment
401,Plant C,2024-08-09,A fire alarm was triggered in Plant C's assembly line on 2024-08-09.,slip,Environment
402,Plant A,2024-04-20,A near-miss incident was reported on 2024-04-20 at Plant A.,slip,Environment
403,Plant A,2024-02-15,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-02-15.,falling object,Human error
404,Plant D,2024-03-13,Employee reported dizziness and nausea in Plant D's packaging area on 2024-03-13.,slip,Equipment
405,Plant D,2024-08-13,Employee reported dizziness and nausea in Plant D's packaging area on 2024-08-13.,safety violation,Human error
406,Plant B,2024-01-10,Employee reported dizziness and nausea in Plant B's packaging area on 2024-01-10.,injury,Environment
407,Plant B,2024-05-31,Employee reported dizziness and nausea in Plant B's packaging area on 2024-05-31.,heat exhaustion,Unknown
408,Plant C,2024-02-07,A near-miss incident was reported on 2024-02-07 at Plant C.,ventilation,Equipment
409,Plant C,2024-09-04,"On 2024-09-04, a worker in Plant C's production area tripped over an unmarked hazard.",other,Environment
410,Plant B,2024-01-06,A near-miss incident was reported on 2024-01-06 at Plant B.,slip,Equipment
411,Plant C,2024-04-02,Employee reported dizziness and nausea in Plant C's packaging area on 2024-04-02.,fire,Unknown
412,Plant C,2024-06-28,A fire alarm was triggered in Plant C's assembly line on 2024-06-28.,heat exhaustion,Human error
413,Plant C,2024-04-17,Employee reported dizziness and nausea in Plant C's packaging area on 2024-04-17.,electrical,Human error
414,Plant C,2024-05-14,"On 2024-05-14, a worker in Plant C's production area tripped over an unmarked hazard.",other,Unknown
415,Plant B,2024-07-18,A fire alarm was triggered in Plant B's assembly line on 2024-07-18.,safety violation,Human error
416,Plant D,2024-06-21,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-06-21.,safety violation,Human error
417,Plant B,2024-06-07,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-06-07.,fire,Unknown
418,Plant A,2024-08-17,A near-miss incident was reported on 2024-08-17 at Plant A.,heat exhaustion,Environment
419,Plant C,2024-02-07,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-02-07.,slip,Environment
420,Plant B,2024-05-07,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-05-07.,near-miss,Equipment
421,Plant B,2024-08-12,Employee reported dizziness and nausea in Plant B's packaging area on 2024-08-12.,injury,Equipment
422,Plant A,2024-02-29,Employee reported dizziness and nausea in Plant A's packaging area on 2024-02-29.,chemical spill,Equipment
423,Plant B,2024-03-20,Employee reported dizziness and nausea in Plant B's packaging area on 2024-03-20.,near-miss,Unknown
424,Plant A,2024-07-12,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-07-12.,heat exhaustion,Equipment
425,Plant A,2024-03-10,A near-miss incident was reported on 2024-03-10 at Plant A.,chemical spill,Environment
426,Plant B,2024-06-01,A near-miss incident was reported on 2024-06-01 at Plant B.,falling object,Environment
427,Plant B,2024-05-15,A fire alarm was triggered in Plant B's assembly line on 2024-05-15.,other,Human error
428,Plant A,2024-08-14,A fire alarm was triggered in Plant A's assembly line on 2024-08-14.,heat exhaustion,Equipment
429,Plant B,2024-04-23,"On 2024-04-23, a worker in Plant B's production area tripped over an unmarked hazard.",safety violation,Human error
430,Plant C,2024-06-05,"On 2024-06-05, a worker in Plant C's production area tripped over an unmarked hazard.",chemical spill,Human error
431,Plant B,2024-02-09,"On 2024-02-09, a worker in Plant B's production area tripped over an unmarked hazard.",heat exhaustion,Unknown
432,Plant B,2024-01-18,A fire alarm was triggered in Plant B's assembly line on 2024-01-18.,ventilation,Human error
433,Plant C,2024-05-23,"On 2024-05-23, a worker in Plant C's production area tripped over an unmarked hazard.",ventilation,Unknown
434,Plant C,2024-08-22,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-08-22.,ventilation,Human error
435,Plant B,2024-09-18,A fire alarm was triggered in Plant B's assembly line on 2024-09-18.,near-miss,Environment
436,Plant D,2024-05-28,"On 2024-05-28, a worker in Plant D's production area tripped over an unmarked hazard.",fire,Unknown
437,Plant D,2024-09-15,A near-miss incident was reported on 2024-09-15 at Plant D.,fire,Human error
438,Plant A,2024-09-05,"On 2024-09-05, a worker in Plant A's production area tripped over an unmarked hazard.",injury,Unknown
439,Plant D,2024-08-29,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-08-29.,fire,Unknown
440,Plant A,2024-05-06,A fire alarm was triggered in Plant A's assembly line on 2024-05-06.,heat exhaustion,Environment
441,Plant C,2024-02-18,A fire alarm was triggered in Plant C's assembly line on 2024-02-18.,heat exhaustion,Equipment
442,Plant D,2024-09-17,A near-miss incident was reported on 2024-09-17 at Plant D.,slip,Equipment
443,Plant D,2024-06-21,Employee reported dizziness and nausea in Plant D's packaging area on 2024-06-21.,injury,Equipment
444,Plant A,2024-04-29,"On 2024-04-29, a worker in Plant A's production area tripped over an unmarked hazard.",heat exhaustion,Environment
445,Plant D,2024-06-13,"On 2024-06-13, a worker in Plant D's production area tripped over an unmarked hazard.",ventilation,Unknown
446,Plant B,2024-03-21,"On 2024-03-21, a worker in Plant B's production area tripped over an unmarked hazard.",safety violation,Environment
447,Plant C,2024-07-12,"On 2024-07-12, a worker in Plant C's production area tripped over an unmarked hazard.",fire,Unknown
448,Plant C,2024-01-26,A fire alarm was triggered in Plant C's assembly line on 2024-01-26.,near-miss,Human error
449,Plant A,2024-05-27,A near-miss incident was reported on 2024-05-27 at Plant A.,slip,Equipment
450,Plant B,2024-03-11,A fire alarm was triggered in Plant B's assembly line on 2024-03-11.,chemical spill,Human error
451,Plant D,2024-09-07,Symptoms of heat exhaustion were reported by a worker in Plant D on 2024-09-07.,ventilation,Human error
452,Plant A,2024-03-07,"On 2024-03-07, a worker in Plant A's production area tripped over an unmarked hazard.",injury,Unknown
453,Plant A,2024-04-03,Employee reported dizziness and nausea in Plant A's packaging area on 2024-04-03.,heat exhaustion,Human error
454,Plant D,2024-01-14,"On 2024-01-14, a worker in Plant D's production area tripped over an unmarked hazard.",injury,Human error
455,Plant B,2024-09-06,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-09-06.,falling object,Unknown
456,Plant D,2024-04-27,"On 2024-04-27, a worker in Plant D's production area tripped over an unmarked hazard.",heat exhaustion,Environment
457,Plant A,2024-08-25,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-08-25.,fire,Human error
458,Plant C,2024-02-14,A fire alarm was triggered in Plant C's assembly line on 2024-02-14.,other,Human error
459,Plant B,2024-04-18,Employee reported dizziness and nausea in Plant B's packaging area on 2024-04-18.,falling object,Unknown
460,Plant A,2024-05-24,"On 2024-05-24, a worker in Plant A's production area tripped over an unmarked hazard.",falling object,Human error
461,Plant C,2024-02-06,Employee reported dizziness and nausea in Plant C's packaging area on 2024-02-06.,safety violation,Equipment
462,Plant B,2024-04-25,A fire alarm was triggered in Plant B's assembly line on 2024-04-25.,electrical,Unknown
463,Plant C,2024-07-08,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-07-08.,ventilation,Unknown
464,Plant C,2024-02-22,Employee reported dizziness and nausea in Plant C's packaging area on 2024-02-22.,ventilation,Equipment
465,Plant C,2024-07-23,A fire alarm was triggered in Plant C's assembly line on 2024-07-23.,heat exhaustion,Human error
466,Plant C,2024-06-17,A near-miss incident was reported on 2024-06-17 at Plant C.,ventilation,Equipment
467,Plant B,2024-09-01,"On 2024-09-01, a worker in Plant B's production area tripped over an unmarked hazard.",ventilation,Unknown
468,Plant D,2024-08-23,A fire alarm was triggered in Plant D's assembly line on 2024-08-23.,injury,Human error
469,Plant D,2024-01-04,A fire alarm was triggered in Plant D's assembly line on 2024-01-04.,fire,Equipment
470,Plant A,2024-04-01,A fire alarm was triggered in Plant A's assembly line on 2024-04-01.,electrical,Unknown
471,Plant D,2024-01-15,A fire alarm was triggered in Plant D's assembly line on 2024-01-15.,ventilation,Equipment
472,Plant C,2024-01-03,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-01-03.,falling object,Unknown
473,Plant B,2024-06-23,"On 2024-06-23, a worker in Plant B's production area tripped over an unmarked hazard.",falling object,Equipment
474,Plant C,2024-07-08,"On 2024-07-08, a worker in Plant C's production area tripped over an unmarked hazard.",injury,Human error
475,Plant A,2024-09-12,"On 2024-09-12, a worker in Plant A's production area tripped over an unmarked hazard.",falling object,Human error
476,Plant D,2024-05-16,"On 2024-05-16, a worker in Plant D's production area tripped over an unmarked hazard.",heat exhaustion,Equipment
477,Plant D,2024-03-08,A near-miss incident was reported on 2024-03-08 at Plant D.,heat exhaustion,Environment
478,Plant C,2024-07-17,A fire alarm was triggered in Plant C's assembly line on 2024-07-17.,fire,Equipment
479,Plant C,2024-08-03,A near-miss incident was reported on 2024-08-03 at Plant C.,other,Unknown
480,Plant A,2024-05-25,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-05-25.,falling object,Environment
481,Plant B,2024-06-20,A fire alarm was triggered in Plant B's assembly line on 2024-06-20.,heat exhaustion,Human error
482,Plant D,2024-02-07,Employee reported dizziness and nausea in Plant D's packaging area on 2024-02-07.,electrical,Human error
483,Plant B,2024-06-15,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-06-15.,injury,Environment
484,Plant B,2024-06-25,A fire alarm was triggered in Plant B's assembly line on 2024-06-25.,injury,Unknown
485,Plant B,2024-01-07,Employee reported dizziness and nausea in Plant B's packaging area on 2024-01-07.,injury,Unknown
486,Plant B,2024-01-22,"On 2024-01-22, a worker in Plant B's production area tripped over an unmarked hazard.",fire,Human error
487,Plant C,2024-06-03,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-06-03.,electrical,Environment
488,Plant A,2024-03-12,A near-miss incident was reported on 2024-03-12 at Plant A.,injury,Environment
489,Plant A,2024-03-02,A near-miss incident was reported on 2024-03-02 at Plant A.,heat exhaustion,Unknown
490,Plant C,2024-06-23,"On 2024-06-23, a worker in Plant C's production area tripped over an unmarked hazard.",ventilation,Human error
491,Plant C,2024-05-19,Symptoms of heat exhaustion were reported by a worker in Plant C on 2024-05-19.,slip,Unknown
492,Plant B,2024-01-16,"On 2024-01-16, a worker in Plant B's production area tripped over an unmarked hazard.",electrical,Human error
493,Plant B,2024-01-07,A fire alarm was triggered in Plant B's assembly line on 2024-01-07.,other,Human error
494,Plant B,2024-05-19,Symptoms of heat exhaustion were reported by a worker in Plant B on 2024-05-19.,other,Human error
495,Plant C,2024-05-17,A fire alarm was triggered in Plant C's assembly line on 2024-05-17.,falling object,Equipment
496,Plant A,2024-08-25,A fire alarm was triggered in Plant A's assembly line on 2024-08-25.,fire,Unknown
497,Plant C,2024-01-15,A near-miss incident was reported on 2024-01-15 at Plant C.,chemical spill,Unknown
498,Plant C,2024-01-20,A near-miss incident was reported on 2024-01-20 at Plant C.,electrical,Unknown
499,Plant A,2024-02-04,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-02-04.,slip,Equipment
500,Plant D,2024-04-15,Employee reported dizziness and nausea in Plant D's packaging area on 2024-04-15.,safety violation,Environment
501,Plant A,2024-02-04,A fire alarm was triggered in Plant A's assembly line on 2024-02-04.,safety violation,Unknown
502,Plant D,2024-01-18,Employee reported dizziness and nausea in Plant D's packaging area on 2024-01-18.,fire,Environment
503,Plant B,2024-02-24,A near-miss incident was reported on 2024-02-24 at Plant B.,safety violation,Human error
504,Plant A,2024-05-07,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-05-07.,falling object,Unknown
505,Plant C,2024-03-24,A near-miss incident was reported on 2024-03-24 at Plant C.,heat exhaustion,Unknown
506,Plant D,2024-04-18,A fire alarm was triggered in Plant D's assembly line on 2024-04-18.,slip,Equipment
507,Plant A,2024-05-28,Symptoms of heat exhaustion were reported by a worker in Plant A on 2024-05-28.,falling object,Equipment
508,Plant D,2024-06-25,"On 2024-06-25, a worker in Plant D's production area tripped over an unmarked hazard.",electrical,Human error
509,Plant D,2024-05-31,A fire alarm was triggered in Plant D's assembly line on 2024-05-31.,heat exhaustion,Human error
510,Plant A,2024-06-28,A fire alarm was triggered in Plant A's assembly line on 2024-06-28.,ventilation,Unknown
